YB,Lon,Lat,Vlsr,+/-,Dist,+/-,Integrated Probability,Arm,Distance,+/-,Integrated Probability,Arm
3242,107.65,0.69,-13.0,0.98,0.79,0.98,0.16,...,2.18,0.98,0.16,...
3243,107.66,1.47,2.7,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3244,107.68,1.19,3.5,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3245,107.69,0.77,-57.5,1.08,2.91,1.08,0.12,...,5.06,1.08,0.12,...
3246,107.69,0.24,-56.7,0.00,2.93,0.00,0.00,...,0.00,0.00,0.00,...
3247,107.69,0.23,-56.7,0.00,2.93,0.00,0.00,...,0.00,0.00,0.00,...
3248,107.70,2.12,-93.8,1.53,6.44,1.53,0.26,...,9.55,1.53,0.26,...
3249,107.84,2.32,-12.2,0.00,0.80,0.00,0.00,...,0.00,0.00,0.00,...
3250,107.85,1.41,2.7,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3251,107.86,0.45,-6.4,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3252,107.87,1.15,3.5,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3253,107.87,1.29,3.5,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3254,107.87,0.66,-52.6,0.00,2.94,0.00,0.00,...,0.00,0.00,0.00,...
3255,107.89,2.00,-28.7,0.11,2.92,0.11,0.26,...?,0.84,0.11,0.26,...?
3256,108.00,1.20,3.5,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3257,108.02,1.52,-16.3,0.87,0.80,0.87,0.30,...,2.40,0.87,0.30,...
3258,108.12,2.67,-64.9,1.14,2.55,1.14,0.49,...,6.07,1.14,0.49,...
3259,108.16,1.02,-40.2,0.45,2.76,0.45,0.40,Per,3.15,0.45,0.40,Per
3260,108.17,2.05,-11.4,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3261,108.17,0.13,-46.8,0.00,2.90,0.00,0.00,...,0.00,0.00,0.00,...
3262,108.18,0.61,-48.5,0.00,2.89,0.00,0.00,...,0.00,0.00,0.00,...
3263,108.20,0.58,-49.3,0.00,2.89,0.00,0.00,...,0.00,0.00,0.00,...
3264,108.21,0.14,-47.6,0.00,2.90,0.00,0.00,...,0.00,0.00,0.00,...
3265,108.22,0.53,-52.6,0.00,2.88,0.00,0.00,...,0.00,0.00,0.00,...
3266,108.37,0.63,-9.7,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3267,108.47,2.08,-10.5,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3268,108.48,0.85,-49.3,0.00,2.89,0.00,0.00,...,0.00,0.00,0.00,...
3269,108.53,2.74,-10.5,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3270,108.57,0.69,-55.1,0.00,2.88,0.00,0.00,...,0.00,0.00,0.00,...
3271,108.58,0.69,-55.1,0.00,2.88,0.00,0.00,...,0.00,0.00,0.00,...
3272,108.59,2.90,-11.4,0.00,0.80,0.00,0.00,...,0.00,0.00,0.00,...
3273,108.60,0.50,-51.8,0.00,2.89,0.00,0.00,...,0.00,0.00,0.00,...
3274,108.69,2.16,-6.4,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3275,108.69,0.27,-54.2,0.00,2.88,0.00,0.00,...,0.00,0.00,0.00,...
3276,108.72,2.31,23.3,0.00,2.14,0.00,0.00,...,0.00,0.00,0.00,...
3277,108.74,2.04,-91.3,1.54,6.41,1.54,0.21,...,8.84,1.54,0.21,...
3278,108.74,2.04,-91.3,1.54,6.41,1.54,0.21,...,8.84,1.54,0.21,...
3279,108.76,0.46,-52.6,0.00,2.88,0.00,0.00,...,0.00,0.00,0.00,...
3280,108.78,1.78,-33.6,0.00,2.56,0.00,0.00,...,0.00,0.00,0.00,...
3281,108.78,0.25,-53.4,0.00,2.88,0.00,0.00,...,0.00,0.00,0.00,...
3282,108.79,0.21,-53.4,0.00,2.88,0.00,0.00,...,0.00,0.00,0.00,...
3283,108.86,2.49,-11.4,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3284,108.95,0.01,-52.6,0.00,2.87,0.00,0.00,...,0.00,0.00,0.00,...
3285,108.99,1.51,-2.3,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3286,109.01,0.58,-3.9,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3287,109.12,0.68,-8.1,0.00,0.78,0.00,0.00,...,0.00,0.00,0.00,...
3288,109.16,0.60,-52.6,0.00,2.81,0.00,0.00,...,0.00,0.00,0.00,...
3289,109.18,0.29,-55.1,0.00,2.81,0.00,0.00,...,0.00,0.00,0.00,...
3290,109.35,1.25,-3.1,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3291,109.36,0.45,-52.6,0.00,2.80,0.00,0.00,...,0.00,0.00,0.00,...
3292,109.47,0.64,-2.3,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3293,109.69,0.11,-53.4,0.00,2.77,0.00,0.00,...,0.00,0.00,0.00,...
3294,109.81,0.58,-53.4,0.00,2.77,0.00,0.00,...,0.00,0.00,0.00,...
3295,109.98,0.17,-50.9,0.00,2.77,0.00,0.00,...,0.00,0.00,0.00,...
3296,110.01,0.26,-54.2,0.00,2.72,0.00,0.00,...,0.00,0.00,0.00,...
