YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
3198,105.9636347,0.419854524,0.008264929,-51.7553998,1.607597828,-51.7553998,2,0.2,0.2,0.2,5,0.5,none
3199,105.9724946,0.740540101,0.002687676,-3.11225862,4.098994255,-3.11225862,2,0.2,0.2,0.2,5,0.5,none
3200,105.9772868,0.468244307,0.002892795,-43.5107996,2.643146992,-43.5107996,2,0.2,0.2,0.2,5,0.5,none
3201,106.0497774,2.3840327,0.002724746,-9.70793878,0.71873045,-9.70793878,2,0.2,0.2,0.2,5,0.5,none
3202,106.0647524,2.906394629,0.003332151,-4.76117866,1.943189025,-4.76117866,2,0.2,0.2,0.2,5,0.5,none
3203,106.0726574,0.364988091,0.006306363,-54.22877986,3.582766294,-54.22877986,2,0.2,0.2,0.2,5,0.5,none
3204,106.1080315,0.928998778,0.002915965,-11.35685882,0.788497925,-11.35685882,2,0.2,0.2,0.2,5,0.5,none
3205,106.1356516,0.098537774,0.004355509,-57.52661994,4.214675426,-57.52661994,2,0.2,0.2,0.2,5,0.5,none
3206,106.1418608,0.130722687,0.006630351,-57.52661994,3.541507721,-57.52661994,2,0.2,0.2,0.2,5,0.5,none
3207,106.1485751,2.658701825,0.002463073,-4.76117866,1.323809624,-4.76117866,2,0.2,0.2,0.2,5,0.5,none
3208,106.2578934,0.94079685,0.00542349,-60.82446002,1.395494461,-60.82446002,2,0.2,0.2,0.2,5,0.5,none
3209,106.3173709,0.056338559,0.005618056,-55.8776999,4.261778355,-55.8776999,2,0.2,0.2,0.2,5,0.5,none
3210,106.3322694,0.031265639,0.004672668,-56.70215992,4.595784664,-56.70215992,2,0.2,0.2,0.2,5,0.5,none
3211,106.4634511,0.596838604,0.003651162,-3.93671864,0.506528378,-3.93671864,2,0.2,0.2,0.2,5,0.5,none
3212,106.4898396,0.92527878,0.008012796,-13.00577886,6.057672501,-13.00577886,2,0.2,0.2,0.2,5,0.5,none
3213,106.498905,0.925632176,0.008160214,-13.00577886,5.890521049,-13.00577886,2,0.2,0.2,0.2,5,0.5,none
3214,106.5485264,0.461234296,0.001834162,-3.93671864,1.081007957,-3.93671864,2,0.2,0.2,0.2,5,0.5,none
3215,106.5836739,1.553970919,0.002400715,-17.95253898,2.492865562,-17.95253898,2,0.2,0.2,0.2,5,0.5,none
3216,106.5901185,0.716592032,0.005877411,-12.18131884,5.102222919,-12.18131884,2,0.2,0.2,0.2,5,0.5,none
3217,106.6749789,1.896240833,0.002958445,-61.64892004,2.765995026,-61.64892004,2,0.2,0.2,0.2,5,0.5,none
3218,106.6831423,1.891794419,0.004212553,-61.64892004,2.435969353,-61.64892004,2,0.2,0.2,0.2,5,0.5,none
3219,106.7257117,1.269750611,0.001978262,1.8345015,2.890401125,1.8345015,2,0.2,0.2,0.2,5,0.5,none
3220,106.7272008,1.472310677,0.006236419,-8.88347876,2.688352585,-8.88347876,2,0.2,0.2,0.2,5,0.5,none
3221,106.7414418,1.32511467,0.006762479,2.65896152,2.672973633,2.65896152,2,0.2,0.2,0.2,5,0.5,none
3222,106.89412,0.892915051,0.003956636,-12.18131884,0.37977007,-12.18131884,2,0.2,0.2,0.2,5,0.5,none
3223,106.9123031,1.10630792,0.001600643,1.01004148,1.694616318,1.01004148,2,0.2,0.2,0.2,5,0.5,none
3224,106.9145658,0.629296352,0.002853582,-36.91511944,5.793998241,-36.91511944,2,0.2,0.2,0.2,5,0.5,none
3225,106.9177054,0.613356115,0.007704714,-36.91511944,4.603152275,-36.91511944,2,0.2,0.2,0.2,5,0.5,none
3226,106.9337927,1.099659807,0.001411486,1.8345015,1.760726929,1.8345015,2,0.2,0.2,0.2,5,0.5,none
3227,106.996756,1.136382503,0.002283525,1.8345015,2.530436516,1.8345015,2,0.2,0.2,0.2,5,0.5,none
3228,107.0905742,2.185786244,0.004242557,-14.6546989,0.515322924,-14.6546989,2,0.2,0.2,0.2,5,0.5,none
3229,107.1851327,2.007800554,0.003248112,1.8345015,0.782040834,1.8345015,2,0.2,0.2,0.2,5,0.5,none
3230,107.2172339,2.88221738,0.002445556,-122.6589615,0.458595514,-122.6589615,2,0.2,0.2,0.2,5,0.5,none
3231,107.2500887,-0.012003556,0.005777676,-3.93671864,3.330172777,-3.93671864,2,0.2,0.2,0.2,5,0.5,none
3232,107.2518322,2.932516422,0.003036682,-7.23455872,0.985530376,-7.23455872,2,0.2,0.2,0.2,5,0.5,none
3233,107.4394503,2.299420896,0.001904466,-12.18131884,0.523070574,-12.18131884,2,0.2,0.2,0.2,5,0.5,none
3234,107.455248,1.917485355,0.001695752,-16.30361894,0.844468117,-16.30361894,2,0.2,0.2,0.2,5,0.5,none
3235,107.4773073,0.935150726,0.00187767,-11.35685882,1.332105637,-11.35685882,2,0.2,0.2,0.2,5,0.5,none
3236,107.4936633,1.17741754,0.00330361,4.30788156,2.34527421,4.30788156,2,0.2,0.2,0.2,5,0.5,none
3237,107.4981514,2.430375363,0.001898256,-6.4100987,0.687999487,-6.4100987,2,0.2,0.2,0.2,5,0.5,none
3238,107.5296915,1.817498652,0.001966617,-7.23455872,0.60678196,-7.23455872,2,0.2,0.2,0.2,5,0.5,none
3239,107.5431508,1.816675245,0.00383201,-7.23455872,0.788541794,-7.23455872,2,0.2,0.2,0.2,5,0.5,none
3240,107.5538951,2.871294527,0.005514192,-8.88347876,1.315654993,-8.88347876,2,0.2,0.2,0.2,5,0.5,none
3241,107.633068,2.10843926,0.002627254,-9.70793878,0.692274094,-9.70793878,2,0.2,0.2,0.2,5,0.5,none
3242,107.6529615,0.69210505,0.00256583,-13.00577886,0.771789849,-13.00577886,2,0.2,0.2,0.2,5,0.5,none
3243,107.6635751,1.472917709,0.008429066,2.65896152,1.904016972,2.65896152,2,0.2,0.2,0.2,5,0.5,none
