YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,Good fit,Multiple emission line
1253,31.5745008,0.228474714,0.001998364,116.40346908568485,2.5759932718781324,116.0469052237636,0.874485227952957,0.07285517309338518,0.02855938296999917,0.02855938296999916,,
1254,31.57921796,0.075147204,0.003197918,95.5749549865634,3.14628621339798,95.88555256833035,1.333628997021146,0.0800055398495425,0.043561852299320344,0.04356185229932032,,
1255,31.59186438,-0.192752252,0.003114553,42.65352630614272,1.963327480249768,42.62637839192532,1.5926154027818382,0.04283346556708961,0.04011855190807624,0.04011855190807624,,
1256,31.59262189,0.324217354,0.001391203,116.82854080199344,1.65583073674489,116.4323387625116,0.928684781153285,0.06633782355708745,0.04295945802573726,0.042959458025737175,,
1257,31.59679626,-0.340714146,0.00299089,99.61313629149512,2.3054922759532928,99.46484839915637,1.6184162102689854,0.04879191901873447,0.04499030961130645,0.04499030961130648,,
1258,31.59805641,-0.679970419,0.002478087,1.6341056823628168,0.3460298404097557,1.4716844022815887,0.3200246812248632,0.0785969699718355,0.6264771754688602,0.6264772844970325,,
1259,31.61109698,0.090249162,0.003474058,109.60232162474722,1.2325168311595918,108.92827131900545,2.0,0.03149586694008737,0.23803906683337123,0.23803906683337114,,
1260,31.642863,-0.267028444,0.002104863,44.566349029531416,2.563996737653452,44.30582116042374,1.0677452174795283,0.05676651209494725,0.027296290081520486,0.027296290081520482,,
1261,31.66121624,0.366998186,0.0042708,104.50146102904404,0.5974326141178609,104.73416847072086,1.5843018528918815,0.02982698823080278,0.09765538204195452,0.09765538204195451,,
1262,31.6746624,0.239424471,0.004885313,98.33792114256934,1.098548662662506,98.37496152489946,2.0,0.048650833935051895,0.2005875212531205,0.20058752125312057,,
1263,31.68212741,-0.151829645,0.001917726,103.22624588011824,1.5262626356387805,103.25238263439958,2.0,0.04921257558918098,0.08028685953920828,0.08028685953920826,,
1264,31.72940938,0.700476915,0.004560363,,0.2571042213588953,3.585112663892476,0.0,0.08429286192810412,0.2867776608872392,0.32430939851114154,,
1265,31.73778142,-0.182379511,0.002297137,99.18806457518652,2.016777956485748,100.16248504940476,2.0,0.08067091377611497,7.327131791949789,7.327131791949792,,
1266,31.75678162,-0.782314243,0.00198494,,0.2831903737038374,102.19446745269926,1.6714408958441864,0.018182321857814286,0.16223506900050924,0.16223506900050919,,
1267,31.79008806,-0.305959526,0.003378629,103.22624588011824,1.8248766649209107,103.27416492069833,1.192708919827124,0.05411556239060836,0.04084000163079048,0.0408400016307905,,
1268,31.82063592,-0.113153494,0.0022735,40.31563186644542,1.679696649312973,40.07578757523679,1.4855051622322373,0.031316149421885445,0.03286085864857382,0.0328608586485738,,
1269,31.82427522,-0.113379275,0.003027237,39.89056015013682,1.5709218778350749,39.96207748767127,1.5556022527147375,0.05080834381075376,0.058102180350370396,0.05810218035037038,,
1270,31.8358804,-0.140841828,0.001776169,93.874668121329,1.6062044978141783,93.75225970100762,0.5957728777166429,0.06688573091850505,0.05869647978846752,0.05869647978846787,,
