YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
86,3.689552727,-0.27045263,0.003472455,-30.5,7.4702760458,-30.649160005,1.10860881486,0.207507693307,0.0716164899131,0.0716164899131,5,0.5,none
87,3.720380205,0.01508827,0.003179962,9.5,4.16890912056,9.13820468637,1.78935420762,0.159694770712,0.140319632109,0.140319632109,5,0.5,none
88,3.741250307,0.022807223,0.002514153,7.5,4.86357505322,7.92277133335,2.0,0.159448357179,0.14570169367,0.14570169367,5,0.5,none
89,3.765597406,0.039270823,0.00287265,9.25,2.88310213089,8.06608977571,2.0,0.128772275617,1.03824951823,1.03824951823,5,0.5,none
90,3.830031796,-0.138432824,0.003327251,199.0,1.26639242191,201.835874482,0.0,1.54363350659,7.78282328174,3.2225535864,5,0.5,none
91,3.91197972,-0.000527707,0.002708202,13.5,5.30515594482,14.5699546031,2.0,0.116479924229,0.10223479906,0.10223479906,5,0.5,none
92,3.92713793,-0.116284552,0.003964897,6.75,2.13680369225,7.05995737244,1.28136328819,0.17894323858,0.181074060631,0.181074060631,5,0.5,none
93,3.935777002,-0.003676443,0.001587008,16.5,8.82506990249,16.0766032363,1.2816542423,0.296824709623,0.0497760577539,0.0497760577539,5,0.5,none
94,3.943835694,0.004602282,0.00211336,16.5,9.89306359291,16.6774240797,0.621361705385,0.422780962392,0.144382172871,0.144382172871,5,0.5,none
95,3.960926782,-0.111714875,0.001619673,24.75,3.47018448114,24.2939303691,1.0830622252,0.232035385273,0.150019708663,0.150019708663,5,0.5,none
96,4.000051471,0.337639313,0.004952313,11.75,9.92312364578,12.129043569,1.2295092855,0.139132146647,0.0364583411434,0.0364583411434,5,0.5,none
97,4.014450999,-0.034105823,0.002528332,15.75,7.6826818943,15.8600713028,0.777469669354,0.288358712796,0.0513937327573,0.0513937327573,5,0.5,none
98,4.144971064,-1.032935219,0.001906537,Data_NA,7.6826818943,Data_NA,0.777469669354,0.288358712796,0.0513937327573,0.0513937327573,5,0.5,none
99,4.166939914,-0.187173142,0.002333018,6.0,4.02216649055,5.62617054485,1.68590128195,0.15694353563,0.717488153339,0.717488153339,5,0.5,none
100,4.195249064,-0.051305843,0.00383752,27.0,4.22097013816,27.1103021875,1.48010959979,0.15109563087,0.0622536274813,0.0622536274813,5,0.5,none
101,4.201830305,-0.028413637,0.002888198,28.25,4.5457616806,27.2420462362,1.76166958294,0.19010923916,0.0871993443912,0.0871993443912,5,0.5,none
102,4.2851269,0.03249735,0.00233485,8.0,2.8707255125,9.20227207069,2.0,0.0821502635675,0.544639318315,0.544639318315,5,0.5,none
103,4.332963268,-0.195332813,0.003157039,2.75,3.86834990978,2.2926708143,1.02508914177,0.247426081875,0.12410651336,0.12410651336,5,0.5,none
104,4.389266461,-0.358680289,0.003946063,146.25,1.28115533218,148.216622349,0.796005680147,0.208148206538,0.0813290733584,0.0813290733584,5,0.5,none
105,4.400519656,-0.332653644,0.002510835,8.25,1.54242213666,9.16848440962,1.19982361854,0.201409147276,1.06446780681,1.06446780681,5,0.5,none
106,4.402762393,-0.358423829,0.004167974,21.5,2.21665608007,21.488596009,1.21306819523,0.150191955612,0.18211282646,0.18211282646,5,0.5,none
107,4.415523985,0.125639033,0.002771711,5.0,3.71242693067,4.07028186175,2.0,0.0952114941652,0.277048787722,0.277048787722,5,0.5,none
108,4.493305264,-0.949898386,0.002211993,Data_NA,3.71242693067,Data_NA,2.0,0.0952114941652,0.277048787722,0.277048787722,5,0.5,none
109,4.499263932,-0.949862011,0.00205617,Data_NA,3.71242693067,Data_NA,2.0,0.0952114941652,0.277048787722,0.277048787722,5,0.5,none
110,4.53312522,0.3614807,0.004778722,14.25,5.98714041138,14.2726927667,1.01213139838,0.122272794054,0.0291540180649,0.0291540180649,5,0.5,none
111,4.564817992,-0.129521848,0.003940951,13.75,2.01802086532,12.4313689881,2.0,0.0949884316199,0.930590603132,0.930590603132,5,0.5,none
112,4.610319405,0.179272841,0.002695707,-28.5,3.93855381012,-28.5120744719,0.990153539811,0.198576618051,0.0744263550392,0.0744263550392,5,0.5,none
113,4.716393147,-0.011474385,0.001938085,2.25,4.65002228022,1.93404419786,0.925726154612,0.317290188833,0.152902984465,0.152902984465,5,0.5,none
114,4.823156887,-0.074981552,0.001807395,16.25,4.36158760786,15.9916847989,1.11413235573,0.26774714091,0.294859431493,0.294859431493,5,0.5,none
115,4.886872709,0.045221296,0.002107616,4.0,3.77875270078,3.88335429775,2.0,0.104700218391,0.083407268246,0.083407268246,5,0.5,none
116,4.985417289,-1.390043464,0.00174353,Data_NA,3.77875270078,Data_NA,2.0,0.104700218391,0.083407268246,0.083407268246,5,0.5,none
117,5.033804599,0.141742885,0.003953904,14.25,3.19637444168,14.2512278872,1.02764330331,0.195469844522,2.87954024726,2.87954024726,5,0.5,none
118,5.037973341,0.143216887,0.00286555,14.25,3.03246466517,14.0616755929,0.919395990188,0.237803769805,0.470985747794,0.470985747794,5,0.5,none
119,5.0482606,-0.194286952,0.00396043,5.5,4.80044556409,5.45115862361,1.28315393183,0.205732511142,0.224238494719,0.224238494719,5,0.5,none
120,5.06016756,-0.274515762,0.002286534,3.5,2.42188475132,3.44847456861,0.911480308368,0.313250648328,0.733608342591,0.733608342591,5,0.5,none
121,5.065884093,-0.043484565,0.00200309,14.5,4.00792143345,14.4697452251,0.850365630507,0.357682772549,0.964529409551,0.964529409551,5,0.5,none
122,5.075599989,-0.093427428,0.002275719,44.5,4.91977190971,45.4485992107,1.34626338401,0.257940584302,0.111660279083,0.111660279083,5,0.5,none
123,5.107032972,-0.107105488,0.002385255,45.0,3.44734725952,46.1756539266,1.63803595572,0.236697990132,0.436030740682,0.436030740682,5,0.5,none
124,5.175448497,0.233764397,0.004165585,NA,1.62062222213,9.54610221499,0.72411451095,0.176270119393,0.256766801774,0.256766801774,5,0.5,none
125,5.186578979,-0.082574732,0.002961156,1.0,4.87364516258,0.796311536966,1.27959064367,0.24416921179,0.0989314776773,0.0989314776773,5,0.5,none
